,Quarter,Tm,Detail,RAM,TAM
0,1.0,Buccaneers,James Wilder 1 yard rush (Donald Igwebuike kick),0,7
1,2.0,Rams,Bobby Duckworth 23 yard pass from Dieter Brock (Mike Lansford kick),7,7
2,2.0,Rams,Eric Dickerson 6 yard rush (Mike Lansford kick),14,7
3,2.0,Buccaneers,Donald Igwebuike 34 yard field goal,14,10
4,2.0,Buccaneers,Kevin House 17 yard pass from Steve DeBerg (Donald Igwebuike kick),14,17
5,2.0,Buccaneers,Donald Igwebuike 49 yard field goal,14,20
6,3.0,Rams,Mike Lansford 27 yard field goal,17,20
7,3.0,Rams,Carl Ekern 33 yard interception return (Mike Lansford kick),24,20
8,4.0,Buccaneers,Gerald Carter 13 yard pass from Steve DeBerg (Donald Igwebuike kick),24,27
9,4.0,Rams,LeRoy Irvin 34 yard interception return (Mike Lansford kick),31,27
