,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Earl Gros 4 yard rush (Sam Baker kick),0,7
1,1.0,Steelers,Willie Daniel 17 yard defensive fumble return,6,7
2,2.0,Steelers,Jim Bradshaw 82 yard interception return (Mike Clark kick),13,7
3,3.0,Steelers,Mike Lind 4 yard pass from Bill Nelsen (Mike Clark kick),20,7
4,4.0,Eagles,Ray Poage 14 yard pass from Jack Concannon (Sam Baker kick),20,14
