,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,4:54,Panthers,Olindo Mare 42 yard field goal,3,0
1,1.0,0:00,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),3,7
2,2.0,10:13,Panthers,Jonathan Stewart 1 yard rush (Olindo Mare kick),10,7
3,2.0,3:49,Falcons,Ovie Mughelli 1 yard pass from Matt Ryan (Matt Bryant kick),10,14
4,3.0,6:28,Panthers,Cam Newton 14 yard rush (Olindo Mare kick),17,14
5,4.0,14:12,Falcons,Matt Bryant 24 yard field goal,17,17
6,4.0,7:00,Falcons,Matt Ryan 1 yard rush (Matt Bryant kick),17,24
7,4.0,1:56,Falcons,Michael Turner 2 yard rush (Matt Bryant kick),17,31
