,Quarter,Tm,Detail,BCL,PIT
0,1.0,Steelers,Joe Geri 37 yard field goal,0,3
1,1.0,Steelers,Fran Rogel 15 yard rush (Joe Geri kick),0,10
2,2.0,Steelers,Bob Gage 1 yard rush (Joe Geri kick),0,17
3,3.0,Colts,Frank Spaniel 15 yard rush (Rex Grossman kick),7,17
