,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Jim Turner 14 yard field goal,0,3
1,1.0,Jets,Don Maynard 42 yard pass from Joe Namath (Jim Turner kick),0,10
2,1.0,Dolphins,Jack Clancy 5 yard pass from Bob Griese (Karl Kremser kick),7,10
3,2.0,Dolphins,Larry Seiple 29 yard pass from Bob Griese (Karl Kremser kick),14,10
4,2.0,Dolphins,Larry Csonka 11 yard pass from Bob Griese (Karl Kremser kick),21,10
5,3.0,Jets,Matt Snell 1 yard rush (pass failed),21,16
6,3.0,Dolphins,Karl Kremser 22 yard field goal,24,16
7,4.0,Jets,George Sauer 27 yard pass from Joe Namath (two point pass successful),24,24
8,4.0,Dolphins,Larry Seiple 9 yard pass from Bob Griese (Karl Kremser kick),31,24
9,4.0,Jets,Don Maynard 25 yard pass from Joe Namath (Jim Turner kick),31,31
10,4.0,Jets,Jim Turner 36 yard field goal,31,34
