,Quarter,Time,Tm,Detail,NWE,DAL
0,1.0,,Patriots,Adam Vinatieri 21 yard field goal,3,0
1,1.0,,Patriots,Adam Vinatieri 30 yard field goal,6,0
2,1.0,,Cowboys,Chris Boniol 23 yard field goal,6,3
3,2.0,,Cowboys,Chris Boniol 36 yard field goal,6,6
4,3.0,,Cowboys,Chris Boniol 35 yard field goal,6,9
5,3.0,,Cowboys,Chris Boniol 29 yard field goal,6,12
