,Quarter,Tm,Detail,RAM,NYJ
0,1.0,Rams,James Harris 12 yard rush,6,0
1,2.0,Jets,Mike Adamle 2 yard rush (Greg Gantt kick),6,7
2,3.0,Jets,Emerson Boozer 14 yard rush,6,13
3,4.0,Rams,Lawrence McCutcheon 23 yard rush (David Ray kick),13,13
4,4.0,Rams,Lawrence McCutcheon 1 yard rush (David Ray kick),20,13
