,Quarter,Tm,Detail,NOR,ATL
0,1,Falcons,Wallace Francis 10 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,7
1,2,Falcons,Wallace Francis 19 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,14
2,3,Falcons,Kenny Johnson 35 yard defensive fumble return (Mick Luckhurst kick),0,21
3,4,Falcons,Alfred Jenkins 25 yard pass from Steve Bartkowski (pass failed),0,27
