,Quarter,Tm,Detail,MIA,KAN
0,1,Chiefs,Jan Stenerud 24 yard field goal,0,3
1,1,Chiefs,Ed Podolak 7 yard pass from Len Dawson (Jan Stenerud kick),0,10
2,2,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),7,10
3,2,Dolphins,Garo Yepremian 14 yard field goal,10,10
4,3,Chiefs,Jim Otis 1 yard rush (Jan Stenerud kick),10,17
5,3,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),17,17
6,4,Chiefs,Ed Podolak 3 yard rush (Jan Stenerud kick),17,24
7,4,Dolphins,Marv Fleming 5 yard pass from Bob Griese (Garo Yepremian kick),24,24
8,OT,Dolphins,Garo Yepremian 37 yard field goal,27,24
