,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Fred Cox 21 yard field goal,0,3
1,2.0,Bears,Mac Percival 33 yard field goal,3,3
2,2.0,Bears,Mac Percival 24 yard field goal,6,3
3,2.0,Vikings,Fred Cox 23 yard field goal,6,6
4,3.0,Vikings,John Henderson 33 yard pass from Bob Lee (Fred Cox kick),6,13
5,4.0,Vikings,Fred Cox 10 yard field goal,6,16
6,4.0,Bears,Cecil Turner 88 yard kickoff return (Mac Percival kick),13,16
