,Quarter,Time,Tm,Detail,JAX,HOU
0,1.0,1:58,Texans,Ka'imi Fairbairn 39 yard field goal,0,3
1,2.0,3:21,Jaguars,Josh Lambo 40 yard field goal,3,3
2,2.0,0:02,Texans,Ka'imi Fairbairn 22 yard field goal,3,6
3,4.0,11:41,Texans,Deshaun Watson 2 yard rush (Ka'imi Fairbairn kick),3,13
4,4.0,6:05,Jaguars,Josh Lambo 32 yard field goal,6,13
5,4.0,0:36,Jaguars,DJ Chark 4 yard pass from Gardner Minshew II (run failed),12,13
