,Quarter,Tm,Detail,SFO,BAL
0,1.0,Colts,Lenny Moore 11 yard pass from Johnny Unitas (Jim Martin kick),0,7
1,1.0,49ers,Tommy Davis 32 yard field goal,3,7
2,3.0,Colts,Jim Martin 12 yard field goal,3,10
3,3.0,Colts,Tom Matte 1 yard rush (Jim Martin kick),3,17
4,4.0,Colts,Jim Martin 41 yard field goal,3,20
