,Quarter,Tm,Detail,STL,TAM
0,1.0,Cardinals,Neil O'Donoghue 52 yard field goal,3,0
1,1.0,Buccaneers,James Wilder 11 yard pass from Jack Thompson,3,6
2,2.0,Cardinals,Neil O'Donoghue 43 yard field goal,6,6
3,2.0,Cardinals,Doug Marsh 5 yard pass from Neil Lomax (Neil O'Donoghue kick),13,6
4,3.0,Cardinals,Roy Green 6 yard pass from Neil Lomax (Neil O'Donoghue kick),20,6
5,3.0,Cardinals,Doug Marsh 16 yard pass from Neil Lomax (Neil O'Donoghue kick),27,6
6,3.0,Buccaneers,Theo Bell 23 yard pass from Jack Thompson (Bill Capece kick),27,13
7,3.0,Buccaneers,Hugh Green 33 yard interception return (Bill Capece kick),27,20
8,4.0,Cardinals,Randy Love 1 yard rush (Neil O'Donoghue kick),34,20
9,4.0,Buccaneers,Jimmie Giles 11 yard pass from Jack Thompson (Bill Capece kick),34,27
