,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),0,7
1,1.0,Packers,Jerry Kramer 17 yard field goal,3,7
2,2.0,49ers,Monty Stickles 3 yard pass from John Brodie (Tommy Davis kick),3,14
3,2.0,Packers,Tom Moore 5 yard rush (Jerry Kramer kick),10,14
4,2.0,49ers,Clyde Conner 5 yard pass from John Brodie (Tommy Davis kick),10,21
5,3.0,Packers,Tom Moore 32 yard rush (Jerry Kramer kick),17,21
6,4.0,Packers,Jim Taylor 2 yard rush (Jerry Kramer kick),24,21
7,4.0,Packers,Ron Kramer 8 yard pass from Bart Starr (Jerry Kramer kick),31,21
