,Quarter,Tm,Detail,RAM,CHI
0,2.0,Bears,Ray McLean 8 yard pass from Sid Luckman (Lee Artoe kick),0,7
1,2.0,Bears,Gary Famiglietti 18 yard rush (Lee Artoe kick),0,14
2,2.0,Bears,Charlie O'Rourke 1 yard rush (Frank Maznicki kick),0,21
3,3.0,Bears,Ray Nolting 2 yard rush,0,27
4,3.0,Bears,John Siegal 24 yard pass from Sid Luckman,0,33
5,4.0,Bears,Hampton Pool 64 yard pass from Charlie O'Rourke (Frank Maznicki kick),0,40
6,4.0,Bears,Gary Famiglietti 21 yard rush (Frank Maznicki kick),0,47
