,Quarter,Tm,Detail,MIN,SFO
0,1.0,Vikings,Chuck Nelson 21 yard field goal,3,0
1,1.0,49ers,Ray Wersching 43 yard field goal,3,3
2,2.0,Vikings,Carl Hilton 7 yard pass from Wade Wilson (Chuck Nelson kick),10,3
3,2.0,Vikings,Chuck Nelson 23 yard field goal,13,3
4,2.0,Vikings,Najee Mustafaa 45 yard interception return (Chuck Nelson kick),20,3
5,3.0,49ers,Jeff Fuller 48 yard interception return (Ray Wersching kick),20,10
6,3.0,Vikings,Hassan Jones 5 yard pass from Wade Wilson (Chuck Nelson kick),27,10
7,3.0,49ers,Steve Young 5 yard rush (Ray Wersching kick),27,17
8,3.0,Vikings,Chuck Nelson 40 yard field goal,30,17
9,4.0,Vikings,Chuck Nelson 46 yard field goal,33,17
10,4.0,49ers,John Frank 16 yard pass from Steve Young (Ray Wersching kick),33,24
11,4.0,Vikings,Chuck Nelson 23 yard field goal,36,24
