,Quarter,Time,Tm,Detail,NOR,RAM
0,1.0,,Saints,Mario Bates 26 yard rush (Morten Andersen kick),7,0
1,2.0,0:01,Saints,Mario Bates 11 yard rush (Morten Andersen kick),14,0
2,2.0,0:01,Rams,Todd Kinchen 24 yard pass from Chris Miller (Tony Zendejas kick),14,7
3,2.0,0:01,Saints,Mario Bates 1 yard rush (Morten Andersen kick),21,7
4,2.0,0:01,Saints,Michael Haynes 30 yard pass from Jim Everett (Morten Andersen kick),28,7
5,3.0,0:01,Saints,Morten Andersen 46 yard field goal,31,7
6,4.0,0:01,Rams,Jerome Bettis 5 yard pass from Chris Miller (Jerome Bettis run),31,15
