,Quarter,Tm,Detail,RAC,CHI
0,1.0,Legion,Hank Gillo 20 yard field goal,3,0
1,3.0,Bears,Joey Sternaman 35 yard rush (Joey Sternaman kick),3,7
2,3.0,Legion,Al Elliott 5 yard rush (Hank Gillo kick),10,7
3,3.0,Bears,Dutch Sternaman 20 yard field goal,10,10
