,Quarter,Time,Tm,Detail,ATL,MIA
0,1.0,10:24,Falcons,Warrick Dunn 1 yard rush (Todd Peterson kick),7,0
1,2.0,10:50,Dolphins,Ricky Williams 23 yard rush (Olindo Mare kick),7,7
2,2.0,4:40,Falcons,Brian Finneran 11 yard pass from Michael Vick (Todd Peterson kick),14,7
3,2.0,1:56,Dolphins,Olindo Mare 28 yard field goal,14,10
4,3.0,4:16,Falcons,Todd Peterson 21 yard field goal,17,10
