,Quarter,Time,Tm,Detail,DEN,CIN
0,1.0,9:04,Broncos,Jason Elam 51 yard field goal,3,0
1,2.0,10:54,Broncos,Clinton Portis 2 yard rush (Jason Elam kick),10,0
2,2.0,3:13,Bengals,Shayne Graham 26 yard field goal,10,3
3,2.0,1:13,Broncos,Clinton Portis 8 yard rush (Jason Elam kick),17,3
4,2.0,0:11,Broncos,Jason Elam 27 yard field goal,20,3
5,3.0,10:18,Broncos,Ian Gold 12 yard interception return (Jason Elam kick),27,3
6,4.0,4:16,Broncos,Jason Elam 39 yard field goal,30,3
7,4.0,3:04,Bengals,Chad Johnson 41 yard pass from Jon Kitna (Shayne Graham kick),30,10
