,Quarter,Tm,Detail,BOS,MIA
0,1.0,Dolphins,Mercury Morris 96 yard kickoff return (Garo Yepremian kick),0,7
1,1.0,Dolphins,Lloyd Mumphord 51 yard blocked field goal return (Garo Yepremian kick),0,14
2,1.0,Dolphins,Garo Yepremian 15 yard field goal,0,17
3,2.0,Patriots,Jim Nance 10 yard rush,6,17
4,2.0,Dolphins,Garo Yepremian 39 yard field goal,6,20
5,2.0,Dolphins,Howard Twilley 19 yard pass from Bob Griese (Garo Yepremian kick),6,27
6,3.0,Patriots,Carl Garrett 6 yard rush (Gino Cappelletti kick),13,27
7,3.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),13,34
8,4.0,Dolphins,Garo Yepremian 30 yard field goal,13,37
9,4.0,Patriots,Gayle Knief 22 yard pass from Mike Taliaferro (Gino Cappelletti kick),20,37
