,Quarter,Tm,Detail,PIT,MIA
0,1.0,Steelers,Charles Lockett 10 yard pass from Mark Malone (Gary Anderson kick),7,0
1,1.0,Steelers,Donnie Shell 50 yard interception return (Gary Anderson kick),14,0
2,2.0,Dolphins,Bruce Hardy 2 yard pass from Dan Marino (Fuad Reveiz kick),14,7
3,2.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),21,7
4,3.0,Dolphins,Mark Clayton 41 yard pass from Dan Marino (Fuad Reveiz kick),21,14
5,3.0,Steelers,Gary Anderson 43 yard field goal,24,14
6,3.0,Dolphins,Mark Duper 50 yard pass from Dan Marino (Fuad Reveiz kick),24,21
7,4.0,Dolphins,Mark Clayton 33 yard pass from Dan Marino (Fuad Reveiz kick),24,28
8,4.0,Dolphins,Troy Stradford 5 yard rush (Fuad Reveiz kick),24,35
