,Quarter,Time,Tm,Detail,TEN,ATL
0,1.0,12:09,Titans,A.J. Brown 55 yard pass from Marcus Mariota (Cairo Santos kick),7,0
1,1.0,8:34,Falcons,Ito Smith 1 yard rush (Matt Bryant kick),7,7
2,1.0,2:32,Titans,A.J. Brown 11 yard pass from Marcus Mariota (Cairo Santos kick),14,7
3,2.0,10:07,Titans,Cairo Santos 45 yard field goal,17,7
4,2.0,2:31,Titans,Corey Davis 23 yard pass from Marcus Mariota (Cairo Santos kick),24,7
5,3.0,11:41,Falcons,Matt Bryant 42 yard field goal,24,10
