,Quarter,Tm,Detail,HOU,SDG
0,1.0,Oilers,Skip Butler 31 yard field goal,3,0
1,2.0,Chargers,Dwight McDonald 13 yard pass from Dan Fouts (Ray Wersching kick),3,7
2,2.0,Oilers,Skip Butler 36 yard field goal,6,7
3,3.0,Chargers,Ray Wersching 30 yard field goal,6,10
4,3.0,Chargers,Bo Matthews 42 yard rush (Ray Wersching kick),6,17
5,3.0,Oilers,Ken Burrough 54 yard pass from Dan Pastorini (Skip Butler kick),13,17
6,4.0,Chargers,Charlie Joiner 81 yard pass from Dan Fouts (Ray Wersching kick),13,24
7,4.0,Oilers,Ken Burrough 67 yard pass from Dan Pastorini (Skip Butler kick),20,24
8,4.0,Oilers,Billy Johnson 32 yard pass from Dan Pastorini (Skip Butler kick),27,24
9,4.0,Chargers,Bo Matthews 1 yard rush,27,30
