,Quarter,Tm,Detail,NYJ,CLE
0,1.0,Browns,Gary Collins 8 yard pass from Bill Nelsen (Don Cockroft kick),0,7
1,1.0,Browns,Bo Scott 2 yard rush (Don Cockroft kick),0,14
2,2.0,Jets,Emerson Boozer 5 yard rush (Jim Turner kick),7,14
3,3.0,Browns,Homer Jones 94 yard kickoff return (Don Cockroft kick),7,21
4,3.0,Jets,Emerson Boozer 10 yard rush (Jim Turner kick),14,21
5,3.0,Browns,Don Cockroft 27 yard field goal,14,24
6,4.0,Jets,George Sauer 33 yard pass from Joe Namath (Jim Turner kick),21,24
7,4.0,Browns,Billy Andrews 25 yard interception return (Don Cockroft kick),21,31
