,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Eric Dickerson 4 yard rush (Mike Lansford kick),0,7
1,2.0,Saints,Morten Andersen 33 yard field goal,3,7
2,2.0,Rams,Mike Lansford 32 yard field goal,3,10
3,2.0,Saints,Morten Andersen 18 yard field goal,6,10
4,3.0,Rams,Jim Everett 4 yard rush (Mike Lansford kick),6,17
5,3.0,Rams,Mike Lansford 47 yard field goal,6,20
6,3.0,Rams,Mike Lansford 29 yard field goal,6,23
7,4.0,Rams,Mike Lansford 44 yard field goal,6,26
8,4.0,Saints,Eric Martin 7 yard pass from Dave Wilson (Morten Andersen kick),13,26
