,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Nathan Poole 1 yard rush (Rich Karlis kick),7,0
1,1.0,Chargers,Kellen Winslow 9 yard pass from Dan Fouts (Rolf Benirschke kick),7,7
2,1.0,Chargers,Kellen Winslow 2 yard pass from Dan Fouts (Rolf Benirschke kick),7,14
3,2.0,Chargers,James Brooks 3 yard rush (Rolf Benirschke kick),7,21
4,4.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),7,28
5,4.0,Chargers,Rolf Benirschke 20 yard field goal,7,31
