,Quarter,Tm,Detail,DAL,NYJ
0,1.0,Jets,Pat Ragusa 20 yard field goal,0,3
1,1.0,Cowboys,Cornell Burbage 13 yard pass from Kevin Sweeney (Luis Zendejas kick),7,3
2,2.0,Cowboys,Luis Zendejas 33 yard field goal,10,3
3,2.0,Cowboys,David Adams 27 yard rush (Luis Zendejas kick),17,3
4,2.0,Cowboys,Kelvin Edwards 33 yard pass from Kevin Sweeney (Luis Zendejas kick),24,3
5,2.0,Jets,Jamie Kurisko 41 yard pass from David Norrie (Pat Ragusa kick),24,10
6,3.0,Jets,John Chirico 3 yard rush (Pat Ragusa kick),24,17
7,3.0,Cowboys,Alvin Blount 1 yard rush (Luis Zendejas kick),31,17
8,3.0,Cowboys,Kelvin Edwards 35 yard pass from Kevin Sweeney (Luis Zendejas kick),38,17
9,4.0,Jets,Michael Harper 78 yard punt return (Pat Ragusa kick),38,24
