,Quarter,Time,Tm,Detail,CAR,SFO
0,1.0,,Panthers,Wesley Walls 5 yard pass from Kerry Collins (John Kasay kick),7,0
1,1.0,,Panthers,John Kasay 18 yard field goal,10,0
2,2.0,,49ers,Brent Jones 1 yard pass from Steve Young (Jeff Wilkins kick),10,7
3,2.0,,Panthers,Wesley Walls 5 yard pass from Kerry Collins (John Kasay kick),17,7
4,2.0,,49ers,Terrell Owens 46 yard pass from Steve Young (Jeff Wilkins kick),17,14
5,2.0,,Panthers,Willie Green 20 yard pass from Kerry Collins (John Kasay kick),24,14
6,2.0,,Panthers,John Kasay 26 yard field goal,27,14
7,2.0,,49ers,Jeff Wilkins 31 yard field goal,27,17
8,3.0,,Panthers,John Kasay 33 yard field goal,30,17
9,4.0,,49ers,Jerry Rice 5 yard pass from Steve Young (Jeff Wilkins kick),30,24
