,Quarter,Tm,Detail,RAM,BKN
0,1.0,Dodgers,Ed Goddard 3 yard rush,0,6
1,1.0,Rams,Harry Mattos 3 yard rush (Harry Mattos kick),7,6
2,4.0,Dodgers,Dick Crayne 21 yard field goal,7,9
