,Quarter,Time,Tm,Detail,BUF,IND
0,1,,Colts,Marshall Faulk 1 yard rush (Cary Blanchard kick),0,7
1,2,,Bills,Quinn Early 95 yard pass from Todd Collins (Steve Christie kick),7,7
2,2,,Bills,Steve Christie 24 yard field goal,10,7
3,4,,Colts,Cary Blanchard 25 yard field goal,10,10
4,OT,,Colts,Cary Blanchard 49 yard field goal,10,13
