,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,Larry Brown 5 yard rush (Curt Knight kick),7,0
1,2.0,Redskins,Curt Knight 36 yard field goal,10,0
2,2.0,Cardinals,MacArthur Lane 9 yard rush (Jim Bakken kick),10,7
3,2.0,Cardinals,Johnny Roland 6 yard pass from Pete Beathard,10,13
4,3.0,Cardinals,Miller Farr 19 yard interception return (Jim Bakken kick),10,20
5,3.0,Cardinals,MacArthur Lane 1 yard rush (Jim Bakken kick),10,27
6,4.0,Redskins,Charlie Harraway 2 yard rush (Curt Knight kick),17,27
