,Quarter,Tm,Detail,PHI,MIN
0,1.0,Eagles,Leroy Harris 2 yard rush (Tony Franklin kick),7,0
1,1.0,Eagles,Wilbert Montgomery 72 yard rush (Tony Franklin kick),14,0
2,2.0,Vikings,Ahmad Rashad 16 yard pass from Tommy Kramer (Rick Danmeier kick),14,7
3,3.0,Eagles,Leroy Harris 4 yard rush (Tony Franklin kick),21,7
4,3.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),28,7
5,4.0,Eagles,Scott Fitzkee 45 yard pass from Ron Jaworski (Tony Franklin kick),35,7
6,4.0,Eagles,Harold Carmichael 13 yard pass from Ron Jaworski (Tony Franklin kick),42,7
