,Quarter,Tm,Detail,CHI,BOS
0,1.0,Bears,Ray McLean 19 yard pass from Sid Luckman (Ray McLean kick),7,0
1,2.0,Yanks,Frank Seno 86 yard punt return (Frank Maznicki kick),7,7
2,2.0,Bears,Ken Kavanaugh 22 yard pass from Sid Luckman (Ray McLean kick),14,7
3,2.0,Yanks,Bill Paschal 8 yard rush (Frank Maznicki kick),14,14
4,3.0,Yanks,Frank Maznicki 35 yard fumble return (Frank Maznicki kick),14,21
5,4.0,Yanks,Nick Scollard 38 yard field goal,14,24
6,4.0,Bears,Ken Kavanaugh 7 yard pass from Sid Luckman (Ray McLean kick),21,24
7,4.0,Bears,Ken Kavanaugh 35 yard pass from Sid Luckman (Ray McLean kick),28,24
