,Quarter,Time,Tm,Detail,SFO,CLE
0,1.0,1:37,Browns,Josh Cribbs 76 yard punt return (Phil Dawson kick),0,7
1,2.0,11:44,Browns,Braylon Edwards 45 yard pass from Derek Anderson (Phil Dawson kick),0,14
2,2.0,3:20,49ers,Darrell Jackson 7 yard pass from Chris Weinke (Joe Nedney kick),7,14
3,2.0,1:04,Browns,Phil Dawson 23 yard field goal,7,17
4,4.0,10:16,Browns,Phil Dawson 49 yard field goal,7,20
