,Quarter,Tm,Detail,SEA,CLE
0,1.0,Seahawks,Sherman Smith 5 yard rush (Efren Herrera kick),7,0
1,2.0,Seahawks,Sherman Smith 2 yard rush,13,0
2,2.0,Seahawks,Efren Herrera 34 yard field goal,16,0
3,2.0,Browns,Don Cockroft 28 yard field goal,16,3
4,3.0,Browns,Mike Pruitt 65 yard rush (Don Cockroft kick),16,10
5,3.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),16,17
6,4.0,Seahawks,Al Hunter 5 yard rush,22,17
7,4.0,Seahawks,Sherman Smith 2 yard rush (Efren Herrera kick),29,17
8,4.0,Browns,Brian Sipe 3 yard rush (Don Cockroft kick),29,24
