,Quarter,Tm,Detail,GNB,CIN
0,1.0,Packers,Lynn Dickey 7 yard rush (Chester Marcol kick),7,0
1,2.0,Bengals,Ken Riley 53 yard interception return (Chris Bahr kick),7,7
2,2.0,Bengals,Bob Trumpy 2 yard pass from Ken Anderson (Chris Bahr kick),7,14
3,3.0,Bengals,Archie Griffin 9 yard rush (Chris Bahr kick),7,21
4,4.0,Bengals,Tommy Casanova 33 yard interception return (Chris Bahr kick),7,28
