,Quarter,Tm,Detail,PHI,GNB
0,1.0,Packers,Bob Monnett 20 yard field goal,0,3
1,2.0,Packers,Bob Monnett 4 yard rush (Bob Monnett kick),0,10
2,2.0,Packers,Bob Monnett 28 yard rush,0,16
3,3.0,Packers,Ade Schwammel 37 yard field goal,0,19
4,3.0,Eagles,Swede Hanson 81 yard rush,6,19
