,Quarter,Tm,Detail,KAN,CLE
0,1.0,Browns,Gary Parris 7 yard pass from Brian Sipe (Don Cockroft kick),0,7
1,1.0,Browns,Don Cockroft 29 yard field goal,0,10
2,1.0,Browns,Don Cockroft 34 yard field goal,0,13
3,2.0,Browns,Don Cockroft 27 yard field goal,0,16
4,2.0,Browns,Thom Darden 18 yard interception return (Don Cockroft kick),0,23
5,2.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),0,30
6,3.0,Browns,Greg Pruitt 78 yard rush (Don Cockroft kick),0,37
7,4.0,Browns,Gary Parris 2 yard pass from Dave Mays (Don Cockroft kick),0,44
8,4.0,Chiefs,John Brockington 22 yard pass from Mike Livingston (Jan Stenerud kick),7,44
