,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Tommy Davis 31 yard field goal,3,0
1,2.0,49ers,Tommy Davis 13 yard field goal,6,0
2,2.0,Packers,Tom Moore 14 yard rush (Jerry Kramer kick),6,7
3,2.0,Packers,Jerry Kramer 27 yard field goal,6,10
4,3.0,49ers,Abe Woodson 85 yard punt return (Tommy Davis kick),13,10
5,3.0,Packers,Jim Taylor 16 yard rush (Jerry Kramer kick),13,17
6,3.0,Packers,Jim Taylor 25 yard rush (Jerry Kramer kick),13,24
7,4.0,Packers,Ron Kramer 9 yard pass from Bart Starr (Jerry Kramer kick),13,31
