,Quarter,Tm,Detail,CRD,BUF
0,1.0,Cardinals,Chief Elkins 25 yard field goal,3,0
1,3.0,Bisons,Chuck Weimer unknown yard field goal,3,3
2,3.0,Cardinals,Mickey MacDonnell 60 yard punt return,9,3
