,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Blair Kiel 3 yard rush (Chris Jacke kick),0,7
1,1.0,Lions,Rodney Peete 26 yard rush (Eddie Murray kick),7,7
2,3.0,Packers,Darrell Thompson 76 yard kickoff return (Chris Jacke kick),7,14
3,3.0,Lions,Eddie Murray 22 yard field goal,10,14
4,3.0,Packers,Chris Jacke 25 yard field goal,10,17
5,4.0,Lions,Ray Crockett 22 yard defensive fumble return (Eddie Murray kick),17,17
6,4.0,Lions,Barry Sanders 6 yard rush (Eddie Murray kick),24,17
