,Quarter,Tm,Detail,CIN,CLE
0,1,Bengals,Stanford Jennings 15 yard pass from Turk Schonert (Jim Breech kick),7,0
1,2,Browns,Matt Bahr 24 yard field goal,7,3
2,2,Browns,Brian Brennan 21 yard pass from Paul McDonald (Matt Bahr kick),7,10
3,3,Bengals,Jim Breech 22 yard field goal,10,10
4,3,Bengals,Anthony Munoz 1 yard pass from Boomer Esiason (Jim Breech kick),17,10
5,4,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),17,17
6,OT,Bengals,Jim Breech 35 yard field goal,20,17
