,Quarter,Tm,Detail,GNB,BOS
0,1.0,Packers,Roger Grove 10 yard pass from Arnie Herber (Harry O'Boyle kick),7,0
1,2.0,Packers,Verne Lewellen unknown yard pass from Arnie Herber (Roger Grove kick),14,0
2,2.0,Packers,Johnny Blood 35 yard pass from Arnie Herber (Lavvie Dilweg pass from Arnie Herber ),21,0
