,Quarter,Time,Tm,Detail,NOR,TAM
0,1.0,13:54,Buccaneers,Karl Williams 14 yard pass from Brad Johnson (Martin Gramatica kick),0,7
1,1.0,10:10,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),0,14
2,1.0,3:38,Buccaneers,Martin Gramatica 20 yard field goal,0,17
3,2.0,7:05,Buccaneers,Martin Gramatica 24 yard field goal,0,20
4,2.0,1:07,Buccaneers,Warrick Dunn 17 yard pass from Brad Johnson (Martin Gramatica kick),0,27
5,2.0,0:14,Buccaneers,Martin Gramatica 32 yard field goal,0,30
6,3.0,8:09,Saints,Joe Horn 11 yard pass from Aaron Brooks (John Carney kick),7,30
7,3.0,2:08,Buccaneers,Martin Gramatica 27 yard field goal,7,33
8,4.0,14:54,Saints,Boo Williams 16 yard pass from Aaron Brooks (John Carney kick),14,33
9,4.0,9:03,Buccaneers,Dave Moore 4 yard pass from Brad Johnson (Martin Gramatica kick),14,40
10,4.0,5:16,Saints,Joe Horn 10 yard pass from Aaron Brooks (John Carney kick),21,40
11,4.0,2:00,Buccaneers,Ronde Barber 36 yard interception return (Shaun King run),21,48
