,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Ken Strong 21 yard field goal,3,0
1,1.0,Giants,Ken Strong 42 yard field goal,6,0
2,2.0,Steelers,Paul Duhart 3 yard rush,6,6
3,2.0,Giants,Howie Livingston 29 yard pass from Arnie Herber (Ken Strong kick),13,6
4,2.0,Giants,Steve Filipowicz 10 yard pass from Arnie Herber (Ken Strong kick),20,6
5,2.0,Giants,Frank Liebel 38 yard pass from Arnie Herber (Ken Strong kick),27,6
6,2.0,Giants,Bill Piccolo 7 yard fumble return (Ken Strong kick),34,6
