,Quarter,Tm,Detail,FRN,PRV
0,2,Steam Roller,Wildcat Wilson unknown yard rush (Bill Pritchard kick),0,7
1,3,Steam Roller,Jimmy Conzelman 29 yard pass from Wildcat Wilson (Gus Sonnenberg kick),0,14
