,Quarter,Time,Tm,Detail,NWE,SFO
0,2.0,,Patriots,Matt Bahr 43 yard field goal,3,0
1,2.0,,49ers,Jerry Rice 21 yard pass from Steve Young (Doug Brien kick),3,7
2,3.0,,49ers,Jerry Rice 16 yard pass from Steve Young (Doug Brien kick),3,14
3,4.0,3:54,49ers,Steve Young 1 yard rush (Doug Brien kick),3,21
4,4.0,3:54,49ers,Derek Loville 3 yard pass from Steve Young (Doug Brien kick),3,28
