,Quarter,Time,Tm,Detail,DAL,OAK
0,1.0,,Cowboys,Michael Irvin 17 yard pass from Troy Aikman (Chris Boniol kick),7,0
1,2.0,2:18,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),14,0
2,2.0,2:18,Raiders,Harvey Williams 7 yard rush (Jeff Jaeger kick),14,7
3,2.0,2:18,Cowboys,Chris Boniol 26 yard field goal,17,7
4,3.0,2:18,Cowboys,Emmitt Smith 13 yard rush (Chris Boniol kick),24,7
5,3.0,2:18,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),31,7
6,3.0,2:18,Raiders,Tim Brown 24 yard pass from Vince Evans (Jeff Jaeger kick),31,14
7,4.0,2:18,Raiders,Kerry Cash 16 yard pass from Vince Evans (Jeff Jaeger kick),31,21
8,4.0,2:18,Cowboys,Chris Boniol 38 yard field goal,34,21
