,Quarter,Tm,Detail,HOU,PIT
0,2.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),7,0
1,2.0,Steelers,Lynn Swann 25 yard pass from Terry Bradshaw (Roy Gerela kick),7,7
2,2.0,Steelers,Roy Gerela 30 yard field goal,7,10
3,2.0,Oilers,Toni Fritsch 39 yard field goal,10,10
4,3.0,Oilers,Earl Campbell 3 yard rush (Toni Fritsch kick),17,10
5,4.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),24,10
6,4.0,Steelers,Lynn Swann 6 yard pass from Terry Bradshaw (Roy Gerela kick),24,17
