,Quarter,Tm,Detail,BAL,MIN
0,2.0,Colts,Lou Michaels 41 yard field goal,3,0
1,2.0,Vikings,Fred Cox 28 yard field goal,3,3
2,2.0,Colts,Lou Michaels 10 yard field goal,6,3
3,3.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),6,10
4,3.0,Vikings,Fred Cox 11 yard field goal,6,13
5,4.0,Colts,Tom Matte 15 yard rush (Lou Michaels kick),13,13
6,4.0,Vikings,Red Phillips 11 yard pass from Joe Kapp (Fred Cox kick),13,20
7,4.0,Colts,John Mackey 3 yard pass from Johnny Unitas (Lou Michaels kick),20,20
