,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,David Ray 30 yard field goal,3,0
1,1.0,Rams,Jim Bertelsen 3 yard rush (David Ray kick),10,0
2,2.0,Rams,David Ray 16 yard field goal,13,0
3,4.0,Rams,David Ray 39 yard field goal,16,0
4,4.0,Rams,David Ray 26 yard field goal,19,0
5,4.0,Rams,Les Josephson 9 yard rush (David Ray kick),26,0
