,Quarter,Tm,Detail,CRD,GNB
0,1,Cardinals,Bill Smith 22 yard pass from Doug Russell (Paul Pardonner kick),7,0
1,2,Packers,Swede Johnston 2 yard pass from Bob Monnett,7,6
