,Quarter,Tm,Detail,SFO,CHI
0,1.0,49ers,Hugh McElhenny 1 yard rush,6,0
1,2.0,Bears,George Blanda 7 yard rush (George Blanda kick),6,7
2,2.0,Bears,George Blanda 19 yard field goal,6,10
3,2.0,49ers,Billy Wilson 1 yard pass from Y.A. Tittle (Gordie Soltau kick),13,10
4,3.0,49ers,Billy Wilson 20 yard pass from Y.A. Tittle (Gordie Soltau kick),20,10
5,3.0,Bears,Bobby Watkins 1 yard rush (George Blanda kick),20,17
6,4.0,Bears,"Safety, Tittle tackled by John Hoffman in end zone",20,19
