,Quarter,Tm,Detail,MIN,BUF
0,1.0,Vikings,Leo Lewis 10 yard pass from Tommy Kramer (Jan Stenerud kick),7,0
1,2.0,Vikings,Ted Brown 15 yard pass from Tommy Kramer,13,0
2,2.0,Bills,Scott Norwood 49 yard field goal,13,3
3,2.0,Vikings,Anthony Carter 43 yard pass from Tommy Kramer (Jan Stenerud kick),20,3
4,3.0,Bills,Scott Norwood 28 yard field goal,20,6
5,3.0,Bills,Vince Ferragamo 1 yard rush (Scott Norwood kick),20,13
6,4.0,Bills,Greg Bell 1 yard rush (Scott Norwood kick),20,20
7,4.0,Vikings,Ted Brown 22 yard rush (Jan Stenerud kick),27,20
