,Quarter,Time,Tm,Detail,CIN,NYJ
0,1.0,13:36,Bengals,Nedu Ndukwe 15 yard defensive fumble return (Dave Rayner kick),7,0
1,1.0,7:44,Jets,Thomas Jones 2 yard pass from Brett Favre (Jay Feely kick),7,7
2,2.0,10:56,Jets,Jay Feely 38 yard field goal,7,10
3,2.0,7:57,Jets,Thomas Jones 7 yard rush (Jay Feely kick),7,17
4,2.0,0:08,Bengals,Ryan Fitzpatrick 1 yard rush (Dave Rayner kick),14,17
5,3.0,5:36,Jets,Jay Feely 43 yard field goal,14,20
6,4.0,2:22,Jets,Thomas Jones 1 yard rush (pass failed),14,26
