,Quarter,Time,Tm,Detail,IND,NOR
0,1.0,14:40,Colts,Marcus Pollard 86 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,1.0,1:14,Colts,Dominic Rhodes 1 yard rush (Mike Vanderjagt kick),14,0
2,2.0,14:56,Saints,Boo Williams 8 yard pass from Aaron Brooks (John Carney kick),14,7
3,2.0,10:15,Saints,John Carney 46 yard field goal,14,10
4,2.0,0:35,Saints,Aaron Brooks 7 yard rush (John Carney kick),14,17
5,2.0,0:00,Colts,Mike Vanderjagt 52 yard field goal,17,17
6,3.0,11:35,Saints,Boo Williams 12 yard pass from Aaron Brooks (John Carney kick),17,24
7,4.0,12:08,Saints,John Carney 48 yard field goal,17,27
8,4.0,8:37,Colts,Mike Vanderjagt 41 yard field goal,20,27
9,4.0,4:35,Saints,Ricky Williams 14 yard rush (John Carney kick),20,34
