,Quarter,Tm,Detail,NWE,ATL
0,1.0,Falcons,Mick Luckhurst 23 yard field goal,0,3
1,2.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),0,10
2,2.0,Falcons,John Rade 16 yard defensive fumble return (Mick Luckhurst kick),0,17
3,3.0,Falcons,Billy Johnson 22 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,24
4,4.0,Patriots,Derrick Ramsey 4 yard pass from Steve Grogan (Fred Steinfort kick),7,24
5,4.0,Patriots,Mosi Tatupu 12 yard pass from Steve Grogan,13,24
