,Quarter,Tm,Detail,PIT,CHI
0,1.0,Bears,Beattie Feathers 2 yard rush,0,6
1,2.0,Bears,Gene Ronzani 38 yard pass from Carl Brumbaugh,0,12
2,2.0,Pirates,Silvio Zaninelli 2 yard rush (Armand Niccolai kick),7,12
3,4.0,Bears,Bronko Nagurski 1 yard rush (Jack Manders kick),7,19
4,4.0,Bears,Beattie Feathers 8 yard rush (Jack Manders kick),7,26
