,Quarter,Time,Tm,Detail,ATL,NYG
0,1.0,,Giants,Brad Daluiso 46 yard field goal,0,3
1,1.0,,Falcons,Tony Martin 36 yard pass from Chris Chandler (Morten Andersen kick),7,3
2,1.0,,Giants,Brad Daluiso 45 yard field goal,7,6
3,2.0,,Falcons,Antonio Edwards 2 yard defensive fumble return (Morten Andersen kick),14,6
4,2.0,0:41,Giants,David Patten 39 yard pass from Danny Kanell (Brad Daluiso kick),14,13
5,3.0,0:41,Falcons,Morten Andersen 26 yard field goal,17,13
6,3.0,0:41,Falcons,Terance Mathis 55 yard pass from Chris Chandler (Morten Andersen kick),24,13
7,4.0,0:41,Falcons,Chris Chandler 1 yard rush (Morten Andersen kick),31,13
8,4.0,0:41,Falcons,Morten Andersen 32 yard field goal,34,13
9,4.0,0:41,Giants,Kent Graham 5 yard rush (Brad Daluiso kick),34,20
