,Quarter,Tm,Detail,CLE,IND
0,2.0,Colts,Dean Biasucci 27 yard field goal,0,3
1,2.0,Colts,Dean Biasucci 19 yard field goal,0,6
2,3.0,Browns,Brian Kinchen 10 yard pass from Vinny Testaverde (Matt Stover kick),7,6
3,3.0,Colts,Dean Biasucci 26 yard field goal,7,9
4,4.0,Browns,Matt Stover 32 yard field goal,10,9
5,4.0,Colts,Anthony Johnson 6 yard rush (Dean Biasucci kick),10,16
6,4.0,Colts,Jeff Herrod defensive fumble recovery in end zone (Dean Biasucci kick),10,23
