,Quarter,Tm,Detail,HOU,RAM
0,1.0,Rams,Drew Hill 57 yard pass from Jeff Kemp (Mike Lansford kick),0,7
1,1.0,Oilers,Joe Cooper 21 yard field goal,3,7
2,1.0,Rams,Eric Dickerson 7 yard rush (Mike Lansford kick),3,14
3,1.0,Rams,Mike Lansford 35 yard field goal,3,17
4,2.0,Oilers,Joe Cooper 42 yard field goal,6,17
5,2.0,Oilers,Larry Moriarty 4 yard rush (Joe Cooper kick),13,17
6,2.0,Rams,Mike Lansford 19 yard field goal,13,20
7,3.0,Oilers,Joe Cooper 18 yard field goal,16,20
8,4.0,Rams,Eric Dickerson 6 yard rush (Mike Lansford kick),16,27
