,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,John Riggins 7 yard rush (Mark Moseley kick),7,0
1,2.0,Redskins,Mark Moseley 32 yard field goal,10,0
2,2.0,Bears,Willie Gault 99 yard kickoff return (Kevin Butler kick),10,7
3,2.0,Bears,Dennis McKinnon 14 yard pass from Jim McMahon (Kevin Butler kick),10,14
4,2.0,Bears,Emery Moorehead 10 yard pass from Jim McMahon (Kevin Butler kick),10,21
5,2.0,Bears,Jim McMahon 13 yard pass from Walter Payton (Kevin Butler kick),10,28
6,2.0,Bears,Kevin Butler 28 yard field goal,10,31
7,3.0,Bears,Walter Payton 33 yard pass from Jim McMahon (Kevin Butler kick),10,38
8,4.0,Bears,Dennis Gentry 1 yard rush (Kevin Butler kick),10,45
