,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Gary Ballman 3 yard pass from Norm Snead (Sam Baker kick),7,0
1,2.0,Redskins,Charley Taylor 7 yard pass from Sonny Jurgensen (Gene Mingo kick),7,7
2,2.0,Redskins,Jerry Smith 18 yard pass from Sonny Jurgensen (Gene Mingo kick),7,14
3,2.0,Eagles,Ben Hawkins 69 yard pass from Norm Snead (Sam Baker kick),14,14
4,3.0,Eagles,Tom Woodeshick 13 yard pass from Norm Snead (Sam Baker kick),21,14
5,3.0,Eagles,Tom Woodeshick 10 yard rush (Sam Baker kick),28,14
6,3.0,Eagles,Ben Hawkins 63 yard pass from Norm Snead (Sam Baker kick),35,14
7,3.0,Redskins,Bobby Mitchell 10 yard pass from Sonny Jurgensen (Gene Mingo kick),35,21
8,3.0,Redskins,Jerry Smith 21 yard pass from Sonny Jurgensen (Gene Mingo kick),35,28
9,4.0,Redskins,Pete Larson 3 yard rush (Gene Mingo kick),35,35
